fuzzyInput,left,centre, right,fuzzyOutput,fuzzyInterval
-0.29,134.27,44.22,11.05,-0.43,0.149036646
-0.29,134.27,44.22,11.05,-0.43,0.013466358
-0.29,134.27,44.22,11.05,-0.43,0.015129089
-0.29,134.27,44.22,11.05,-0.43,0.013509035
-0.29,134.27,74.35,11.07,-0.43,0.163318872
-0.14,133.41,74.35,11.07,-0.69,0.171720743
-0.14,133.41,74.35,11.07,-0.69,0.1622715
-0.14,133.41,74.35,11.07,-0.69,0.017848253
-0.14,133.41,95.74,11.07,-0.55,0.167126894
0,133.41,95.74,10.94,-0.55,0.167654991
-0.29,97.29,95.74,10.94,-0.43,0.154956579
-0.14,97.29,95.74,10.94,-0.42,0.175896406
-0.14,97.29,79.48,10.94,-0.42,0.014894247
-0.14,97.29,79.48,10.7,-0.52,0.174924612
-0.14,231.03,79.48,10.7,-0.52,0.189095974
-0.14,231.03,79.48,10.7,-0.69,0.158135653
-0.29,231.03,79.34,10.7,-0.43,0.158401966
-0.14,231.03,79.34,10.83,-0.69,0.148423195
-0.14,239.75,79.34,10.83,-0.69,0.204957247
-0.14,239.75,79.34,10.83,-0.69,0.158449173
-0.14,239.75,79.34,10.83,-0.69,0.013344526
-0.29,239.75,64.3,10.83,-0.43,0.149794579
-0.29,239.75,64.3,10.83,-0.43,0.162597418
-0.14,134.46,64.3,10.83,-0.69,0.157906055
-0.14,134.46,64.3,10.83,-0.69,0.165482283
-0.14,134.46,64.3,10.83,-0.69,0.013319492
-0.14,134.46,58.82,10.83,-0.69,0.166707039
-0.14,134.46,58.82,10.69,-0.69,0.158564806
-0.14,162.08,58.82,10.69,-0.69,0.160294771
-0.14,162.08,58.82,10.69,-0.69,0.01664257
-0.14,162.08,58.82,10.69,-0.69,0.013698578
-0.14,162.08,58.82,10.69,-0.69,0.016970634
-0.29,162.08,78.53,10.66,-0.43,0.182795525
-0.29,267.38,78.53,10.66,-0.43,0.188564301
-0.29,267.38,78.53,10.66,-0.43,0.165737867
-0.29,267.38,78.53,10.66,-0.43,0.032713413
-0.14,267.38,133.98,10.66,-0.4,0.177439213
-0.29,267.38,133.98,10.78,-0.4,0.173048973
-0.29,339.49,133.98,10.78,-0.4,0.218674183
-0.29,339.49,133.98,10.78,-0.4,0.013640165
-0.29,339.49,133.98,10.78,-0.4,0.013868332
-0.29,339.49,217.03,10.83,-0.36,0.161957502
-0.14,339.49,217.03,10.83,-0.1,0.160106182
-0.14,206.88,217.03,10.83,-0.1,0.179684162
-0.14,206.88,217.03,10.83,-0.1,0.013767958
-0.14,206.88,217.03,10.83,-0.1,0.016210318
-0.29,206.88,253.19,10.7,-0.36,0.184258461
-0.29,206.88,253.19,10.7,-0.36,0.183229446
-0.14,267.39,253.19,10.7,-0.1,0.168268919
-0.14,267.39,253.19,10.7,-0.1,0.015325308
-0.29,267.39,162.86,10.7,-0.36,0.185031652
-0.29,267.39,162.86,10.68,-0.4,0.162763119
-0.29,267.39,162.86,10.68,-0.4,0.013318539
-0.14,302.86,162.86,10.68,-0.4,0.160121679
-0.29,302.86,58.85,10.68,-0.4,0.179936409
-0.29,302.86,58.85,10.54,-0.43,0.163889647
-0.29,142.52,58.85,10.54,-0.43,0.16140914
-0.29,142.52,58.85,10.54,-0.43,0.161846638
-0.14,142.52,152.19,10.54,-0.69,0.158615828
-0.14,142.52,152.19,10.52,-0.4,0.157078743
-0.14,79.2,152.19,10.52,-0.4,0.160163403
-0.14,79.2,152.19,10.52,0,0.158807039
-0.14,79.2,152.19,10.52,0,0.013393641
-0.14,79.2,152.19,10.52,0,0.013330698
-0.14,79.2,160.65,10.43,0,0.155277014
-0.14,79.2,160.65,10.43,0,0.148977041
-0.14,89.97,160.65,10.43,0,0.162629604
-0.14,89.97,160.65,10.43,0,0.018167257
-0.14,89.97,160.65,10.43,0,0.013954878
-0.14,89.97,160.65,10.43,0,0.013358355
-0.29,89.97,119.07,10.48,0,0.148206711
-0.14,89.97,119.07,10.48,0,0.147821665
-0.29,117.06,119.07,10.48,-0.4,0.15566206
-0.29,117.06,119.07,10.48,-0.4,0.013489485
-0.29,117.06,119.07,10.48,-0.4,0.013830662
-0.29,117.06,116.11,10.48,-0.4,0.015561104
-0.29,117.06,116.11,10.84,-0.4,0.16361165
-0.29,117.06,116.11,10.84,-0.4,0.172924042
-0.29,106.23,116.11,10.84,-0.4,0.181456566
-0.29,106.23,116.11,10.84,-0.4,0.013664961
-0.29,106.23,116.11,10.84,-0.4,0.013709545
-0.29,106.23,54.09,10.83,-0.43,0.162312031
-0.29,106.23,54.09,10.83,-0.43,0.15446353
-0.29,106.73,54.09,10.83,-0.43,0.160055876
-0.29,106.73,54.09,10.83,-0.43,0.015790939
-0.29,106.73,54.09,10.83,-0.43,0.013614416
-0.29,106.73,116.92,10.89,-0.4,0.171369791
-0.29,106.73,116.92,10.89,-0.4,0.158831596
-0.29,133.41,116.92,10.89,-0.4,0.158277273
-0.29,133.41,116.92,10.89,-0.4,0.013582945
-0.29,133.41,116.92,10.89,-0.4,0.01364255
-0.29,133.41,116.92,10.89,-0.4,0.013355494
-0.29,133.41,120.97,11.09,-0.4,0.159357309
-0.29,133.41,120.97,11.09,-0.4,0.207432985
-0.29,134.03,120.97,11.09,-0.4,0.157330751
-0.29,134.03,120.97,11.09,-0.4,0.01331377
-0.29,134.03,120.97,11.09,-0.4,0.013598442
-0.29,134.03,61.55,11.09,-0.43,0.160692453
-0.29,134.03,61.55,11.08,-0.43,0.151879072
-0.29,114.21,61.55,11.08,-0.43,0.164219141
-0.14,114.21,61.55,11.08,-0.69,0.165532351
-0.29,114.21,56.63,11.11,-0.43,0.156832933
-0.14,114.21,56.63,11.11,-0.69,0.15269208
-0.14,114.21,56.63,11.11,-0.69,0.017855406
-0.14,178.62,56.63,11.11,-0.69,0.151351929
-0.14,178.62,56.63,11.11,-0.69,0.013537169
-0.14,178.62,55,11.11,-0.69,0.155613184
-0.14,178.62,55,11.11,-0.69,0.01348424
-0.14,178.62,55,11.11,-0.69,0.014275789
-0.14,178.62,55,11.11,-0.69,0.014184475
-0.14,178.62,55,11.11,-0.69,0.013490915
-0.14,277.18,55,11.11,-0.69,0.157338858
-0.14,277.18,55,11.11,-0.69,0.01478672
-0.14,277.18,62.23,11.06,-0.69,0.18931222
-0.14,277.18,62.23,11.06,-0.69,0.152714252
-0.14,277.18,62.23,11.06,-0.69,0.015916586
-0.14,345.01,62.23,11.06,-0.69,0.157002211
-0.14,345.01,62.23,11.06,-0.69,0.013691664
-0.14,345.01,70.1,11.06,-0.69,0.1545434
-0.14,345.01,70.1,11.06,-0.69,0.165346384
-0.14,345.01,70.1,11.06,-0.69,0.01398325
-0.14,345.01,70.1,11.06,-0.69,0.013456583
-0.14,310.85,70.1,11.06,-0.69,0.16211462
-0.14,310.85,70.1,11.06,-0.69,0.017325401
-0.14,310.85,61.88,10.86,-0.69,0.202006817
-0.14,310.85,61.88,10.86,-0.69,0.164060593
-0.14,178.98,61.88,10.86,-0.69,0.029647827
-0.14,178.98,61.88,10.86,-0.69,0.16581583
-0.29,178.98,136.89,10.86,-0.43,0.174768448
-0.14,178.98,136.89,10.64,-0.4,0.147356033
-0.29,134.42,136.89,10.64,-0.4,0.170092106
-0.14,134.42,136.89,10.64,-0.4,0.170439243
-0.14,134.42,147.02,10.64,-0.4,0.160017967
-0.14,134.42,147.02,10.65,-0.4,0.157396317
-0.14,134.42,147.02,10.65,-0.4,0.013502598
-0.14,134.42,147.02,10.65,-0.4,0.013761282
-0.29,157.95,147.02,10.65,-0.4,0.161101103
-0.14,157.95,67.33,10.65,-0.4,0.149391413
-0.14,157.95,67.33,10.65,-0.69,0.153321028
-0.29,157.95,67.33,10.65,-0.43,0.151268721
-0.14,159.01,67.33,10.65,-0.69,0.167746067
-0.14,159.01,67.33,10.65,-0.69,0.013544559
-0.14,159.01,121.34,10.65,-0.4,0.147672892
-0.14,159.01,121.34,10.65,-0.4,0.147877693
-0.14,159.01,121.34,10.65,-0.4,0.013609409
-0.14,159.01,121.34,10.65,-0.4,0.013510466
-0.14,267.35,121.34,10.65,-0.4,0.167760134
